nama_penulis,rating,teks_ulasan,waktu,likes
Ahmad Farizal,5.0,"Mau beli laptop second berkualitas disini aja tempat nya, dijamin paling murah se Yogyakarta👍👍👍",a month ago,0
Stevanus Dannydra Prasetyo,5.0,"Saya beli disini 10 unit untuk perusahaan saya , udah jalan 2 tahun masih okee . Makasi bang owner 🔥",Edited a year ago,0
Najwah Ariella Puteri,5.0,Jual-beli laptop yang recommended 👍🏻 laptopnya masih bagus dan pelayanannya juga ramah. Pokoknya kalau mau beli laptop second di sini gak usah ragu 👍🏻,4 months ago,0
Dede Hardiansyah,5.0,"Kualitas baguss, harga bisa nego ada diskon juga di hari wekkend",a month ago,0
Rio Ardiyansyah,5.0,Pelayanan nya bagus… Harga nyaa untukk Laptop Spek Gaming Tipis tipis masih okee buattt di kantonggg,3 months ago,0
Galuh Alfian Effendi,5.0,Unit bagus lengkap pelayanan ramah Top,5 months ago,0
anisah ainiromadhoni,5.0,"makasih...
habis beli disini.  Semoga awet.  Aamiin",5 months ago,0
IndraSurya Bargo,5.0,Barang bagus ori semua..  laptop model² baru... Harga bisa di nego,a month ago,0
TM_Hasbi Firmansyah,5.0,"pelayanan ramah, unit masih bagus semua, rekomend bgt buat cari laptop",7 months ago,0
Jamil Masykuri,5.0,"Masnya ramah, ada tambahan instal office, barang bagus",a month ago,0
Heny Agustiyani,5.0,"Banyak pilihan unitnya dan dapet diskon, staf membantu dan ramah, tempatnya adem dan bersih.",7 months ago,0
Arimbi Arum Sw.,5.0,"Pelayanan super ramah, kualitas laptopnya masih bagus2. Rekomen kalau mau nyari laptop second disini",11 months ago,0
Pur Rakhmatul Barri,5.0,"Tempatnya nyaman, pelayanan jg cepet. ~Nemenin teman kantor beli laptop",4 months ago,0
Dimas Andreansyah,5.0,"Tempat, dan pelayanannya sangat bagus. Laptop disini lengkap, dan dalam kondisi yang baik.",10 months ago,0
Rofiq Mubarok,5.0,Salah satu rekomendasi tempat untuk beli laptop second di Jogja. Staffnya ramah dan informatif. Pilihan laptop juga banyak dan keluaran terbaru.,3 months ago,0
Leny Hartasya Agustin 05,5.0,"Pelayanan memuaskan, laptop masih bagus bagus",a month ago,0
Abram Dewantoro,5.0,"Offline store dari ignya : laptopbekasyogyakarta.id bekas berkualitas, barangnya manteb manteb, mantau terus ignya tiap ada postingan baru, kalo ngga cepet cepet nge booking bisa keduluan orang lain, hasil buruan pun dapet disini tuff f15 jauh lebih hemat dari beli baru, padahal barang 98% like new",3 years ago,0
Andri Aprianto,5.0,Mau cari laptop bekas ya diHERO computer tempatnya jual beli tukar tambah juga bisa dilayani dengan staf2 yg ramah,3 months ago,0
Budi angrh,5.0,"Alhamdulillah pelayanannya memuaskan, bisa konsultasi dan bisa disesuaikan sesuai budjet, dan yang pasti laptopnya keluaran tahun muda",5 months ago,0
Aziz Kurniardi1,5.0,"mantap pelayanan baik dan responsif, rekomended",a month ago,0
Jihad Maruf,5.0,"Pelayanan , oke , harga terjangkau , sip pokoe",6 months ago,0
M. Gaudienzo Lorenzo Puling,5.0,"Tempatnya aman dan nyaman, petugasnya sangat membantu dan bisa tawar harga yang terbaik pula.",4 months ago,0
Ferdinand 10,5.0,"pelayanan ramah, penjelasan tentang laptop detail, untuk harga affordable dengan spec laptop yg didapatkan, pilihan laptop banyak",a year ago,0
njay,5.0,pelayanannya sangat bagus,2 weeks ago,0
Eka Saputri,5.0,"pelayanan oke, barang nya mantap betul TERBAIK",a week ago,0
Muhammad Wildan K.,5.0,"Pelayanan super ramah, dan cepat, tempatnya rapih nyaman, barangnya bagus bagus",a year ago,0
